1,-9619.39,96
2,-9123.8,91
3,-9421.36,94
4,-9521.79,95
5,-9620.29,96
6,-9918.55,99
7,-8724.91,87
8,-9122.17,91
9,-9424.18,94
10,-9221.56,92
11,-8925.46,89
12,-9221.59,92
13,-9419.95,94
14,-9023.12,90
15,-9123.26,91
16,-9519.86,95
17,-9519.77,95
18,-9519,95
19,-9421.45,94
20,-9519.14,95
21,-9321.92,93
22,-9718.73,97
23,-8923.4,89
24,-9221,92
25,-9619.31,96
26,-9022.65,90
27,-9419.48,94
28,-9219.32,92
29,-8822.05,88
30,-9420.75,94
31,-9319.58,93
32,-8723.04,87
33,-9121.61,91
34,-9021.37,90
35,-9320.45,93
36,-9120.08,91
37,-9219.93,92
38,-9617.71,96
39,-9619.78,96
40,-9020.3,90
41,-9120.67,91
42,-9220.24,92
43,-9419.16,94
44,-9219.64,92
45,-9120.37,91
46,-9219.88,92
47,-9022.92,90
48,-8922.61,89
49,-8523.39,85
50,-9020.16,90
51,-8722.28,87
52,-8922.21,89
53,-9718.29,97
54,-9221.09,92
55,-8623.75,86
56,-8623.68,86
57,-8922.32,89
58,-8923.06,89
59,-8921.46,89
60,-8822.14,88
61,-8523.36,85
62,-9022.55,90
63,-8622.78,86
64,-9020.77,90
65,-9021.23,90
66,-8821.7,88
67,-8225.08,82
68,-8125.28,81
69,-7925.71,79
70,-8225.17,82
71,-8721.03,87
72,-8622.38,86
73,-8423.68,84
74,-8425.07,84
75,-8025.51,80
76,-8025.61,80
77,-7627.13,76
78,-7329.13,73
79,-7527.14,75
80,-8124.2,81
81,-8026.31,80
82,-7727.6,77
83,-7427.74,74
84,-7527.08,75
85,-8322.49,83
86,-7228.35,72
87,-8024.09,80
88,-7825.15,78
89,-7626.61,76
90,-6930.07,69
91,-8424.88,84
92,-7327.67,73
93,-7427.24,74
94,-7427.87,74
95,-6931.66,69
96,-7328.96,73
97,-6631.28,66
98,-6431.53,64
99,-6929.01,69
100,-6132.7,61
101,-6630.94,66
102,-7229.91,72
103,-7228.01,72
104,-7129,71
105,-6929.36,69
106,-7826.21,78
107,-7428.95,74
108,-6829.84,68
109,-7129.54,71
110,-6232.9,62
111,-6829.84,68
112,-6133.72,61
113,-6630.05,66
114,-6332.63,63
115,-5733.9,57
116,-5833.88,58
117,-6331.14,63
118,-5834.39,58
119,-6531.27,65
120,-6529.72,65
121,-5834.41,58
122,-6033.1,60
123,-5834.43,58
124,-6231.08,62
125,-6231.93,62
126,-5733.98,57
127,-5733.94,57
128,-5136.54,51
129,-6430.82,64
130,-5834.01,58
131,-5932.44,59
132,-6033.01,60
133,-6231.78,62
134,-5534.9,55
135,-5634.6,56
136,-5933.41,59
137,-5534.92,55
138,-4738.64,47
139,-5335.95,53
140,-4638.53,46
141,-3940.02,39
142,-5036.73,50
143,-6034.29,60
144,-4937.17,49
145,-5235.85,52
146,-5535.57,55
147,-5135.6,51
148,-5135.83,51
149,-5037.05,50
150,-5534.03,55
151,-5136.72,51
152,-2745.34,27
153,-4539.42,45
154,-4039.71,40
155,-4439.55,44
156,-3342.45,33
157,-4937.88,49
158,-4638.22,46
159,-5135.34,51
160,-3841.37,38
161,-4438.44,44
162,-3841.22,38
163,-3742.45,37
164,-3940.12,39
